Line 0: 47 chars, starts with: 'የቅጣት ምትክነት'
Line 1: 13 chars, starts with: 'ሐምሌ 26, 20'
Line 3: 65 chars, starts with: '«እኔ ግን ተቤዢ'
Line 5: 64 chars, starts with: '«አቤቱ፥ ዓለቴና'
Line 7: 146 chars, starts with: 'ይህ ጽሑፍ በብሉ'
Line 9: 41 chars, starts with: 'ብሉይ ኪዳን እና'
Line 10: 445 chars, starts with: 'አዲስ ኪዳንን ስ'
Line 12: 285 chars, starts with: 'የቤዛነትን ትምህ'
Line 14: 27 chars, starts with: '"ተቤዢው" (Go'
Line 15: 166 chars, starts with: 'የዕብራይስጡ ቃል'
Line 17: 63 chars, starts with: '«ወንድምህ ቢደኸ'
Line 19: 144 chars, starts with: 'አንድ እስራኤላዊ'
Line 21: 254 chars, starts with: 'ተቤዢው በደም እ'
Line 23: 173 chars, starts with: 'ለዚህ በጣም የታ'
Line 25: 92 chars, starts with: '«ቅርቡም ዘመድ።'
Line 27: 44 chars, starts with: '"ቤዛው" (Pad'
Line 28: 115 chars, starts with: 'ሌላው የዕብራይስ'
Line 30: 150 chars, starts with: '«ከወንዶች ልጆች'
Line 32: 88 chars, starts with: 'ይህ ቃል ጽኑ መ'
Line 34: 160 chars, starts with: 'ነገር ግን፣ ይህ'
Line 36: 75 chars, starts with: '«እያንዳንዱ ስለ'
Line 38: 322 chars, starts with: 'ይህ ጽንሰ-ሐሳብ'
Line 40: 37 chars, starts with: 'የቤተ ክርስቲያን'
Line 41: 202 chars, starts with: 'ይህ መጽሐፍ ቅዱ'
Line 43: 356 chars, starts with: 'ሐዋርያዊው ቅዱስ'
Line 45: 17 chars, starts with: 'አትናቴዎስ እንዲ'
Line 47: 241 chars, starts with: '"ምክንያቱም "ሎ'
Line 49: 219 chars, starts with: 'አትናቴዎስ በዚህ'
Line 51: 17 chars, starts with: 'ዋጋ ሳይከፈል ድ'
Line 52: 378 chars, starts with: 'ብሉይ ኪዳን ድር'
Line 54: 70 chars, starts with: '«የሰው ልጅም ሊ'
Line 56: 113 chars, starts with: 'አዲስ ኪዳን ታላ'
Line 58: 122 chars, starts with: 'ማስታወሻ፡ በዚህ'
Line 60: 43 chars, starts with: 'በቅጣት ምትክነት'
Line 61: 38 chars, starts with: 'ክፍል ሁለት፡ ቤ'
